Product name,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK
4XC - 5in1,Đầu bào,DB-4XC-000001,180,8,4.11,106.81
M - nhỏ tròn,Đầu bào,DB-M-000002,180,8,2.77,72.02
XF - nhỏ,Đầu bào,DB-XF-000003,180,8,2.94,80.04
Sticker - 5D,Design,DES-STI-000004,40,2,0.63,16.91
Sticker - 3D,Design,DES-STI-000005,30,1.5,0.21,5.67
Sticker - 2D,Design,DES-STI-000006,25,1,0.26,7.05
Foil sticker,Design,DES-FOISTI-000007,100,8,0.88,23.57
Tips natur nhọn ngắn,Tips,TIP-TIPNAT-000008,290,10,1.05,26.68
Tips natur thẳng ngắn,Tips,TIP-TIPNAT-000009,290,10,1.43,36.45
Tips natur nhọn dài,Tips,TIP-TIPNAT-000010,290,10,1.42,36.01
Tips trong nhọn ngắn,Tips,TIP-TIPTRO-000011,290,10,1.20,30.59
Đá nhỏ 7mầu,Design,DES-DANHO-000012,90,3,0.82,20.83
Bút vẽ (1set=3c),Bút,BUT-BUTVE-000013,180,7,2.19,55.76
Hộp đựng móng (0-9),Tools & Accessories,TA-HOPDUN-000014,50,2,0.73,18.66
Cây fen - V shape,Tools & Accessories,TA-CAYFEN-000015,170,6,0.38,9.78
Cây fen - U shape,Tools & Accessories,TA-CAYFEN-000016,170,6,0.38,9.78
Mịn Fusion,Đầu bào,DB-MINFUS-000017,180,8,2.53,64.24
French A,Tools & Accessories,TA-FREA-000018,150,6,0.60,15.19
French B,Tools & Accessories,TA-FREB-000019,150,6,0.60,15.19
Sticker lửa,Design,DES-STILUA-000020,130,6,1.54,39.07
Bút vẽ 2 đầu - 7/11mm,Bút,BUT-BUTVE-000021,309,12,2.88,72.76
Chrome Red,Design,DES-CHRRED-000022,200,7,3.83,97.27
Sơn Ultra Black,Hoá chất,HC-SONULT-000023,200,7,3.72,94.58
Sơn Ultra White,Hoá chất,HC-SONULT-000024,200,7,3.72,94.58
Vỏ nhám tím ⌗60 - C,Tools & Accessories,TA-VONHA-000025,200,7,3.76,95.38
Bút fen,Bút,BUT-BUTFEN-000026,130,5,3.37,85.51
Bút ombre,Bút,BUT-BUTOMB-000027,130,5,3.39,85.95
Vỏ nhám trắng ⌗60 - C,Tools & Accessories,TA-VONHA-000028,200,7,0.97,24.62
Set sơn mầu vẽ 12 lọ,Hoá chất,HC-SETSON-000029,700,30,15.23,384.75
Đá kê sơn,Tools & Accessories,TA-DAKE-000030,70,3,3.00,3.00
Sticker Bướm,Design,DES-STIBUO-000031,40,1.5,0.85,21.12
Đá rắc 28g,Design,DES-DARAC-000032,160,8,1.23,30.57
Kê tay Silicon,Tools & Accessories,TA-KETAY-000033,160,8,1.63,40.45
Bút mực vẽ,Design,DES-BUTMUC-000034,100,5,0.90,22.33
5in1 Phá 2XC,Đầu bào,DB-5INPHA-000035,210,10,3.75,92.55
Bút đắp gel sz14,Bút,BUT-BUTDAP-000036,170,7,2.02,49.89
Tips thường gói 50c,Tips,TIP-TIPTHU-000037,15,0.6,0.50,15.00
Bút gel đỏ sz8,Bút,BUT-BUTGEL-000038,130,7,2.72,66.78
In French,Design,DES-INFRE-000039,130,5,0.70,17.29
Dao cắt fen,Tools & Accessories,TA-DAOCAT-000040,180,8,0.51,12.55
Sticker playboy,Design,DES-STIPLA-000041,30,1,0.36,8.99
Gold foil,Design,DES-GOLFOI-000042,300,15,1.12,27.72
Bút gel - tròn 10,Bút,BUT-BUTGEL-000043,150,6,2.54,62.82
Bút gel quét mầu - tròn 8,Bút,BUT-BUTGEL-000044,150,6,2.24,55.47
Set bào & vỏ mịn da chân,Đầu bào,DB-SETBAO-000045,200,8,2.50,61.78
Tips Vuông trong XXL,Tips,TIP-TIPVUO-000046,290,10,2.24,55.18
Bấm móng 777 Korea,Tools & Accessories,TA-BAMMON-000047,120,6,2.81,68.39
Sticker Halloween Phát sáng,Design,DES-STIHAL-000048,50,2,0.38,9.41
Top matte 15ml,Hoá chất,HC-TOPMAT-000049,250,10,1.92,47.32
Foil gel,Hoá chất,HC-FOIGEL-000050,250,10,2.02,49.76
Sticker Playboy,Design,DES-STIPLA-000051,30,1,0.44,10.73
Bình xịt ombre bột,Tools & Accessories,TA-BINXIT-000052,200,8,3.60,88.69
Tay giả mềm,Tools & Accessories,TA-TAYGIA-000053,250,10,3.60,88.69
Tay giả khớp,Tools & Accessories,TA-TAYGIA-000054,800,38,10.63,261.64
Bút Gradient,Bút,BUT-BUTGRA-000055,130,5,0.80,19.68
Đầu Chổi sắt,Đầu bào,DB-DAUCHO-000056,100,4,0.56,13.78
3in1 Mịn C - ngắn,Đầu bào,DB-3INMIN-000057,200,8,2.68,65.68
3XC ULTRA,Đầu bào,DB-3XCULT-000058,200,8,2.68,65.68
5XC - Titan,Đầu bào,DB-5XC-000059,300,12,3.74,91.75
Bào nhám Diamond nhỏ - M,Đầu bào,DB-BAONHA-000060,130,5,0.50,12.30
Bào nhám Diamond to - C,Đầu bào,DB-BAONHA-000061,130,5,1.50,36.90
Hoa 3D Design,Design,DES-HOA3D-000062,75,3,0.62,15.17
Sticker chữ,Design,DES-STICHU-000063,30,1,0.26,6.36
Tips Ballerina trong XXL,Tips,TIP-TIPBAL-000064,290,10,2.12,51.89
Tip ballerina ngắn 4/5/5/6,Tools & Accessories,TA-TIPBAL-000065,100,4,0.60,14.68
Tip trong nhọn 4/5/5/6,Tools & Accessories,TA-TIPTRO-000066,100,4,0.60,14.68
Lá Trái tim set,Design,DES-LATRA-000067,120,6,0.68,16.64
Bột màu 56g,Hoá chất,HC-BOTMAU-000068,300,12,1.84,45.28
Máy xịt ombre gel,Đồ điện,DD-MAYXIT-000069,1900,80,13.42,329.02
Sơn vẽ hũ Metallic 5g,Design,DES-SONVE-000070,120,5,1.55,37.97
Sơn vẽ hũ 5g,Design,DES-SONVE-000071,100,4,0.84,20.49
Cuticle oil 15ml,Hoá chất,HC-CUTOIL-000072,100,4,1.10,26.98
Gel vẽ màng nhện 5g,Design,DES-GELVE-000073,100,4,1.20,29.48
Nhám trắng M ⌗240 (1000c),Tools & Accessories,TA-NHATRA-000074,1000,40,8.83,214.47
Tips trong nhọn dài,Tips,TIP-TIPTRO-000075,290,10,1.37,33.36
Lẻ - Tip Trong nhọn,Tips,TIP-LE-000076,20,0.7,0.44,10.72
Bào Diamond Cuticle 2.5mm,Đầu bào,DB-BAODIA-000077,100,4,1.11,26.93
Sticker F Noel - 3D,Design,DES-STIF-000078,50,2,0.39,9.53
Sticker STZ Noel - 5D,Design,DES-STISTZ-000079,75,3,0.78,19.06
Kéo,Tools & Accessories,TA-KEO-000080,120,6,1.67,40.29
Máy Bào Btmarathon 3,Đồ điện,DD-MAYBAO-000081,3600,150,47.69,1153.38
Bút chấm bi set 5c,Tools & Accessories,TA-BUTCHA-000082,120,5,1.38,33.46
Cán dao cạo chân - hồng,Tools & Accessories,TA-CANDAO-000083,120,5,1.32,31.87
Đèn LED pin cầm tay,Đồ điện,DD-DENLED-000084,250,10,2.23,53.95
Khay inox,Tools & Accessories,TA-KHAINO-000085,150,6,1.90,45.98
Tay thay máy bào di động,Đồ điện,DD-TAYTHA-000086,900,35,12.87,317.44
Cây đẩy da inox japan,Tools & Accessories,TA-CAYDAY-000087,50,2,0.67,16.16
3XC Hoa cúc ULTRA,Đầu bào,DB-3XCHOA-000088,180,8,2.33,56.45
Bút quan tài,Bút,BUT-BUTQUA-000089,1500,60,30.31,732.96
Bút vẽ 2 đầu - 10/20mm,Bút,BUT-BUTVE-000090,309,12,2.78,67.15
Kéo - dài,Tools & Accessories,TA-KEO-000091,200,8,0.98,23.67
4XC - Titan,Đầu bào,DB-4XC-000092,300,12,3.46,83.22
